"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/09/2021";"0000";"26,7";"88,0";"";"1,0";"90,0";"0,0";"9,20";"34,7";"";""
"02/09/2021";"1200";"22,8";"99,0";"";"0,0";"0,0";"7,5";"";"";"";"0,0"
"02/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/09/2021";"0000";"23,8";"91,0";"";"1,0";"90,0";"10,0";"8,50";"35,1";"";""
"03/09/2021";"1200";"23,4";"98,0";"";"0,0";"0,0";"6,3";"";"";"";"9,8"
"03/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/09/2021";"0000";"27,1";"87,0";"";"1,0";"360,0";"7,5";"4,60";"32,3";"";""
"04/09/2021";"1200";"24,4";"97,0";"";"1,0";"360,0";"8,8";"";"";"";"0,0"
"04/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/09/2021";"0000";"27,1";"91,0";"";"0,0";"0,0";"3,8";"";"";"";""
"05/09/2021";"1200";"";"";"";"";"";"";"";"";"";""
"05/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/09/2021";"0000";"";"";"";"";"";"";"9,20";"34,7";"";""
"06/09/2021";"1200";"23,8";"97,0";"";"1,0";"360,0";"7,5";"";"";"";"0,0"
"06/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/09/2021";"0000";"28,5";"86,0";"";"0,0";"0,0";"2,5";"0,10";"28,7";"";""
"07/09/2021";"1200";"24,2";"96,0";"";"1,0";"50,0";"7,5";"";"";"";"2,6"
"07/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/09/2021";"0000";"24,2";"96,0";"";"1,0";"360,0";"10,0";"5,10";"33,7";"";""
"08/09/2021";"1200";"22,6";"98,0";"";"1,0";"360,0";"11,3";"";"";"";"17,0"
"08/09/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/09/2021";"0000";"27,5";"91,0";"";"1,0";"50,0";"10,0";"6,80";"34,5";"";""
